,temp,pres,rh,ws,PBLH,VentCoef
2019-10-18,291.2708333333333,1019.0,57.291666666666664,1.5791666666666666,761.25,3174.40625
2019-10-19,290.8666666666667,1018.9583333333334,60.791666666666664,2.6083333333333334,548.9166666666666,1486.9750000000001
2019-10-20,288.40000000000003,1015.5833333333334,77.20833333333333,1.7708333333333333,454.2173913043478,1095.5043478260868
2019-10-21,288.75416666666666,1013.125,70.08333333333333,1.5333333333333332,472.45454545454544,1267.5772727272727
2019-10-22,290.2625,1012.5833333333334,52.791666666666664,2.2125,973.3333333333334,2703.7125
2019-10-23,290.96666666666664,1012.1666666666666,53.166666666666664,1.9583333333333333,961.9473684210526,3173.3052631578944
2019-10-24,295.05833333333334,1012.1666666666666,45.458333333333336,1.7333333333333334,450.4347826086956,1105.482608695652
2019-10-25,298.07916666666665,1010.2916666666666,49.0,2.25,697.4347826086956,2206.4608695652173
2019-10-26,297.79583333333335,1004.4583333333334,50.375,3.016666666666667,979.1739130434783,3994.3869565217396
2019-10-27,295.70416666666665,1003.125,73.95833333333333,2.1166666666666667,424.0,1076.6260869565217
2019-10-28,290.325,1003.8333333333334,84.95833333333333,2.8874999999999997,807.8333333333334,2985.2291666666665
2019-10-29,291.1083333333333,1007.6666666666666,75.16666666666667,3.0416666666666665,852.0,3048.3916666666664
2019-10-30,292.12916666666666,1015.75,63.791666666666664,2.716666666666667,805.4583333333334,3085.3333333333335
2019-10-31,292.9,1015.125,61.958333333333336,3.8541666666666665,1086.2916666666667,4982.516666666666
2019-11-01,294.67083333333335,1007.7916666666666,78.5,2.3958333333333335,786.304347826087,3082.2130434782607
2019-11-02,293.6791666666667,1010.2083333333334,52.875,3.1041666666666665,1187.6666666666667,4446.483333333333
2019-11-03,294.5083333333333,1004.5416666666666,68.45833333333333,2.1041666666666665,557.5,1419.716666666667
2019-11-04,292.7,1006.4166666666666,85.75,1.1916666666666667,376.95454545454544,579.2409090909091
2019-11-05,294.325,1013.125,61.833333333333336,1.6916666666666667,522.95,1370.56
2019-11-06,296.625,1010.3333333333334,51.458333333333336,2.6833333333333336,1064.9166666666667,3206.1541666666667
2019-11-07,439.71666666666664,1011.4166666666666,54.31578947368421,3.6736842105263157,1008.2631578947369,4168.115789473684
2019-11-08,294.12916666666666,1012.0416666666666,63.916666666666664,3.704166666666666,1072.8695652173913,4357.182608695652
